year,ERF_CO2,ERF_N2O,ERF_CH4,ERF_anthro,ERF_other_human,ERF_wmghg
1980,1.338413715,0.090741116,0.490766073,0.954898915,-1.16897465,2.123873565
1981,1.350141287,0.093409789,0.50006093,1.031123493,-1.127929752,2.159053245
1982,1.362276316,0.095838845,0.509425579,1.040874434,-1.153420314,2.194294748
1983,1.376847506,0.097820637,0.51830275,1.156928957,-1.074212168,2.231141125
1984,1.391741991,0.099804393,0.525829384,1.176507511,-1.090482308,2.266989819
1985,1.406298399,0.101924702,0.532067421,1.208196079,-1.094567782,2.302763861
1986,1.422614694,0.103705357,0.537710268,1.254196953,-1.086337998,2.340534951
1987,1.441620111,0.10595146,0.542949883,1.259274732,-1.122419441,2.381694173
1988,1.459870219,0.109476571,0.547838128,1.309250143,-1.114824822,2.424074965
1989,1.474593282,0.112977873,0.552546989,1.363570361,-1.09734321,2.460913571
1990,1.486556292,0.115402664,0.557210589,1.38204078,-1.109792846,2.491833626
1991,1.496090412,0.117094489,0.561327478,1.321329977,-1.195354576,2.516684553
1992,1.504448533,0.118571549,0.56410465,1.500443982,-1.036977715,2.537421697
1993,1.515243769,0.120112411,0.56619556,1.520289175,-1.03640229,2.556691465
1994,1.529844284,0.122000043,0.568477651,1.496603761,-1.08278602,2.579389781
1995,1.545537949,0.124226746,0.570466012,1.60459143,-0.998286188,2.602877618
1996,1.561164737,0.126469026,0.572380844,1.668157286,-0.957679555,2.625836841
1997,1.579443932,0.128742188,0.575289521,1.55041552,-1.101248275,2.651663795
1998,1.598993659,0.131014146,0.578502827,1.620698185,-1.058344042,2.679042227
1999,1.615318894,0.133007756,0.580268206,1.798035624,-0.903281428,2.701317052
2000,1.629855275,0.134898488,0.580530473,1.859159448,-0.860955813,2.720115261
2001,1.646981597,0.137048385,0.580790024,1.885385817,-0.856170005,2.741555822
2002,1.666892529,0.139383486,0.581686753,1.828539096,-0.937873149,2.766412245
2003,1.686592817,0.141606423,0.58225934,1.813845427,-0.976545724,2.790391151
2004,1.705187798,0.143783583,0.581961559,1.843912215,-0.968590709,2.812502924
2005,1.723576784,0.146058823,0.581835962,1.833763029,-1.0009884,2.834751429
2006,1.741653919,0.148249844,0.58263484,1.821781578,-1.035672264,2.857453842
2007,1.75976181,0.150336988,0.583932997,1.895607127,-0.985252699,2.880859826
2008,1.778748393,0.152423208,0.585367821,1.97706409,-0.928302073,2.905366163
2009,1.798333526,0.154509546,0.58684185,2.077812176,-0.852376727,2.930188903
2010,1.817809701,0.156596806,0.588288643,2.116737849,-0.838306673,2.955044522
2011,1.837106228,0.15868598,0.589721671,2.164193278,-0.815487732,2.97968101
2012,1.856416583,0.160776758,0.59115553,2.171006136,-0.833035319,3.004041455
2013,1.875818133,0.162868959,0.592602263,2.286907271,-0.741866943,3.028774214
2014,1.895338178,0.164962593,0.594076046,2.316286703,-0.737282279,3.053568982
2015,1.914957523,0.167057409,0.595583802,2.404650306,-0.673696552,3.078346858
2016,1.934617639,0.16915332,0.597117218,2.432557231,-0.670800418,3.103357649
2017,1.954275489,0.171250859,0.59866607,2.465785919,-0.661333967,3.127119886
2018,1.973924637,0.173349464,0.600224304,2.495290494,-0.655494272,3.150784766
2019,1.99357605,0.175449373,0.601787513,2.540705813,-0.63343933,3.174145143
2020,2.013208151,0.177551046,0.603335524,2.600400476,-0.597975442,3.198375918
2021,2.032843351,0.179653912,0.604819717,2.625884887,-0.596768576,3.222653463
2022,2.052625895,0.181757593,0.606205248,2.651003973,-0.595726161,3.246730134
2023,2.07267952,0.183861295,0.607498281,2.675696873,-0.594764919,3.270461792
2024,2.093038321,0.18596454,0.608722472,2.700373437,-0.593685796,3.294059233
2025,2.113696098,0.188067306,0.609900053,2.725172184,-0.592458513,3.317630697
2026,2.134607315,0.190169273,0.61104502,2.74978212,-0.591431704,3.341213824
2027,2.155694962,0.19227077,0.612155904,2.774527908,-0.590096442,3.36462435
2028,2.176898003,0.194371699,0.613228162,2.798810281,-0.588913766,3.387724047
2029,2.198197126,0.196472123,0.614260504,2.823094195,-0.587510869,3.410605064
2030,2.219592333,0.198572026,0.615253639,2.847097653,-0.586256221,3.433353874
2031,2.240989685,0.200668474,0.616167301,2.880154373,-0.575745872,3.455900245
2032,2.262267828,0.202755529,0.616936623,2.912769571,-0.565154677,3.477924248
2033,2.283481359,0.204829939,0.617555061,2.944629408,-0.554743032,3.49937244
2034,2.304749012,0.206891436,0.618054129,2.975925245,-0.544569851,3.520495096
2035,2.326123953,0.208940094,0.618460041,3.007070428,-0.534379013,3.541449441
2036,2.347610712,0.210975196,0.618798551,3.037856002,-0.524469742,3.562325744
2037,2.369175673,0.212996813,0.619085265,3.068453972,-0.514695752,3.583149724
2038,2.390748739,0.215005243,0.619321689,3.099232163,-0.50465577,3.603887933
2039,2.412271261,0.217000831,0.619504562,3.129609271,-0.494893041,3.624502312
2040,2.433727503,0.218983838,0.619634314,3.159887263,-0.485110063,3.644997326
2041,2.455056429,0.220950851,0.619690734,3.191276907,-0.474022795,3.665299702
2042,2.476122379,0.222896605,0.619618166,3.222548489,-0.46266208,3.685210569
2043,2.496867657,0.224818777,0.61938083,3.253183191,-0.451442064,3.704625255
2044,2.517396688,0.226717284,0.618994617,3.283187043,-0.440483087,3.72367013
2045,2.537829638,0.228591816,0.618490956,3.312828143,-0.429671601,3.742499744
2046,2.558222532,0.230441941,0.617896979,3.342306679,-0.41889451,3.761201189
2047,2.578586817,0.232267772,0.617237731,3.371729917,-0.40808197,3.779811887
2048,2.59889245,0.234069554,0.616529797,3.400730776,-0.397589582,3.798320358
2049,2.619068384,0.235847402,0.61577335,3.429630186,-0.387024407,3.816654593
2050,2.639061451,0.237602053,0.614966326,3.458568032,-0.376191567,3.834759599
2051,2.658717632,0.239334235,0.614076873,3.482009127,-0.370439706,3.852448833
2052,2.677798271,0.24104635,0.613050273,3.504664728,-0.364816751,3.869481479
2053,2.696182013,0.242739777,0.611851099,3.526736642,-0.359008413,3.885745055
2054,2.713867188,0.244414806,0.610466812,3.547987715,-0.353229491,3.901217206
2055,2.7309618,0.246071278,0.608914717,3.568429037,-0.347586159,3.916015196
2056,2.747594833,0.247708977,0.607228513,3.588198356,-0.342098196,3.930296552
2057,2.763833523,0.249327662,0.605436962,3.607740212,-0.336410303,3.944150515
2058,2.77969861,0.250927322,0.603566872,3.626756306,-0.330863981,3.957620287
2059,2.795168638,0.252507155,0.601635823,3.645310509,-0.325384837,3.970695346
2060,2.810177803,0.254068479,0.599646047,3.663669274,-0.319639857,3.983309131
2061,2.824612856,0.255610582,0.597577358,3.679897195,-0.315425854,3.995323049
2062,2.838349104,0.257132468,0.595399352,3.695401433,-0.311173127,4.00657456
2063,2.851350784,0.258633766,0.593103742,3.71037131,-0.306640328,4.017011638
2064,2.8635993,0.260114438,0.590681986,3.72455167,-0.302050604,4.026602274
2065,2.87508297,0.261575661,0.588117797,3.737554275,-0.297762066,4.035316341
2066,2.885899305,0.263016688,0.585424818,3.75000654,-0.29325596,4.0432625
2067,2.896178961,0.264437684,0.582633808,3.761669243,-0.288930903,4.050600146
2068,2.905985355,0.265838391,0.57977002,3.77299906,-0.284415159,4.057414219
2069,2.915339231,0.267218201,0.57685775,3.783988773,-0.279758995,4.063747768
2070,2.924216986,0.268577563,0.573912202,3.794558976,-0.275031614,4.06959059
2071,2.932489634,0.269915944,0.570914849,3.805343061,-0.269449675,4.074792736
2072,2.939990759,0.27123274,0.567829104,3.815483973,-0.263657026,4.079140999
2073,2.94666028,0.272527269,0.564643014,3.824652335,-0.257902055,4.08255439
2074,2.952510357,0.273800013,0.561363412,3.833245628,-0.251808537,4.085054165
2075,2.957515717,0.275051637,0.557980059,3.841058624,-0.245546094,4.086604718
2076,2.961655617,0.276281882,0.554475353,3.847646973,-0.239519771,4.087166744
2077,2.965028286,0.277491548,0.550865879,3.853779302,-0.233075554,4.086854856
2078,2.967760086,0.278679002,0.547214563,3.859112788,-0.226742458,4.085855246
2079,2.969914198,0.279843364,0.543594172,3.863883887,-0.220419255,4.084303142
2080,2.971513033,0.28098418,0.540041493,3.86853493,-0.213721098,4.082256028
2081,2.97281456,0.28210379,0.536613816,3.872869211,-0.207161431,4.080030642
2082,2.974247694,0.283205699,0.5333944,3.877858288,-0.200296452,4.07815474
2083,2.975935221,0.284292306,0.530397959,3.883591499,-0.193184314,4.076775813
2084,2.977809429,0.285364599,0.527595635,3.889750647,-0.186040533,4.07579118
2085,2.97984004,0.286422752,0.524963295,3.896494926,-0.178648589,4.075143515
2086,2.981962442,0.287468364,0.522463665,3.903713751,-0.171018188,4.074731939
2087,2.984130859,0.288501736,0.520055731,3.911142689,-0.163327183,4.074469872
2088,2.986414671,0.289523071,0.517730491,3.918906442,-0.155509293,4.074415735
2089,2.988917589,0.290532242,0.515496983,3.926958683,-0.147724025,4.074682708
2090,2.991689682,0.291529252,0.513360212,3.93535073,-0.139973634,4.075324364
2091,2.994735718,0.29251354,0.511325881,3.940972927,-0.135378066,4.076350993
2092,2.998014927,0.293486033,0.509391761,3.946730664,-0.130964558,4.077695222
2093,3.001443863,0.29444671,0.507542941,3.952887022,-0.126350996,4.079238018
2094,3.004948139,0.295395975,0.505761997,3.959146135,-0.121745704,4.080891839
2095,3.008494377,0.296334718,0.504037132,3.965644411,-0.116969513,4.082613924
2096,3.012073994,0.297262881,0.502359784,3.972502734,-0.111885086,4.08438782
2097,3.015642643,0.29818094,0.500706602,3.979167023,-0.106981656,4.086148679
2098,3.01916647,0.299089666,0.499048371,3.985859216,-0.10197642,4.087835636
2099,3.022723436,0.299989313,0.497387088,3.992577874,-0.096951715,4.089529589
