year,CO2,ERF_CO2,ERF_N2O,ERF_CH4,ERF_anthro,ERF_natural,ERF_other_human,ERF_wmghg
1850,321.7959,0.783613563,0.005437628,0.044337921,0.765395258,0.415669463,-0.067993933,0.833389191
1851,321.8851,0.785076737,0.005738321,0.045340872,0.777601633,0.412631698,-0.05855438,0.836156013
1852,321.96677,0.786415756,0.006078176,0.04641858,0.784644999,0.412167809,-0.054267599,0.838912597
1853,322.05725,0.787899375,0.006417988,0.047495053,0.783662737,0.406535605,-0.058149768,0.841812504
1854,322.15527,0.789505959,0.006757575,0.04847362,0.770874556,0.398676163,-0.07386269,0.844737246
1855,322.25327,0.791110992,0.007097373,0.049368903,0.780849498,0.394043318,-0.066727866,0.847577363
1856,322.35132,0.792717278,0.007436884,0.050359893,0.78209673,0.392724447,-0.068417423,0.850514153
1857,322.4581,0.794465959,0.007776104,0.051432124,0.780033772,0.395997698,-0.073640516,0.853674287
1858,322.57248,0.796338677,0.008115493,0.052503203,0.779608131,0.405451872,-0.077349347,0.856957477
1859,322.678,0.798065782,0.008454633,0.053573217,0.780796723,0.41339158,-0.079297016,0.860093739
1860,322.776,0.799669027,0.008793524,0.054641997,0.779306695,0.4192919,-0.083797963,0.863104658
1861,322.86523,0.801128566,0.009132598,0.055709714,0.783858622,0.41810359,-0.082112369,0.865970991
1862,322.94687,0.802463353,0.009471423,0.056776197,0.786086182,0.411280234,-0.082624918,0.8687111
1863,323.03738,0.803943396,0.009810204,0.057841618,0.793186558,0.407273026,-0.078408789,0.871595347
1864,323.12656,0.80540061,0.010148894,0.059001526,0.794934597,0.403341911,-0.079616566,0.874551163
1865,323.19946,0.806591392,0.010487297,0.060241778,0.784581982,0.400187327,-0.092738621,0.877320603
1866,323.26477,0.807658136,0.010825717,0.061384992,0.791441647,0.398576885,-0.088427338,0.879868985
1867,323.33896,0.808870018,0.011164138,0.06244555,0.783292095,0.396136324,-0.099187764,0.882479859
1868,323.42944,0.810347199,0.011502506,0.063504958,0.775298248,0.401579596,-0.110056572,0.88535482
1869,323.52744,0.811947167,0.011794913,0.064658499,0.781914955,0.411519333,-0.106485784,0.888400739
1870,323.63425,0.81369108,0.012002406,0.065892012,0.776370709,0.412294441,-0.115214953,0.891585661
1871,323.75745,0.815701842,0.01221659,0.067029101,0.784071824,0.418287208,-0.110875886,0.89494771
1872,323.8969,0.817976952,0.012515371,0.068083815,0.787978593,0.415122109,-0.110597725,0.898576318
1873,324.06155,0.820662141,0.01285326,0.06913732,0.776046734,0.409745235,-0.12660617,0.902652904
1874,324.2501,0.823735237,0.013144957,0.070284435,0.77444308,0.405078526,-0.132721746,0.907164826
