year,CO2,ERF_CO2,ERF_anthro,ERF_volc,ERF_natural,ERF_other_human,ERF_wmghg
1850,282.9542,0.108012593,0.174973452,0.194332728,0.201860807,-0.067993933,0.242967386
1851,283.08615,0.110444486,0.177489228,0.197859192,0.199927066,-0.05855438,0.236043608
1852,283.22922,0.113079774,0.180965163,0.191554105,0.192810749,-0.054267599,0.235232762
1853,283.361,0.115506443,0.185206627,0.01098643,0.002118294,-0.058149768,0.243356395
1854,283.47525,0.117609256,0.190068582,-0.022960512,-0.045681969,-0.07386269,0.263931272
1855,283.57394,0.119425002,0.193437469,0.118022357,0.08676738,-0.066727866,0.260165335
1856,283.6857,0.12148079,0.196939036,0.128167035,0.094525169,-0.068417423,0.265356459
1857,283.83517,0.124228792,0.202420758,-0.057672927,-0.08533977,-0.073640516,0.276061274
1858,283.99948,0.127247989,0.207709062,0.087809164,0.077006555,-0.077349347,0.285058408
1859,284.17548,0.130480363,0.212998402,0.162295882,0.165752208,-0.079297016,0.292295418
1860,284.36646,0.133985513,0.218731318,0.187949291,0.201982815,-0.083797963,0.302529281
1861,284.556,0.137462457,0.224935545,0.107672012,0.119583856,-0.082112369,0.307047913
1862,284.72614,0.140581851,0.230484692,-0.700605334,-0.700955551,-0.082624918,0.31310961
1863,284.89575,0.143689842,0.236173605,-0.295583145,-0.303125232,-0.078408789,0.314582394
1864,285.06622,0.146811866,0.24302252,0.033565922,0.018972371,-0.079616566,0.322639086
1865,285.2365,0.149928581,0.250010507,0.149773953,0.129501788,-0.092738621,0.342749128
1866,285.40417,0.152995822,0.256160402,0.18413369,0.160975417,-0.088427338,0.34458774
1867,285.57352,0.156091633,0.263478523,0.195330366,0.167788328,-0.099187764,0.362666287
1868,285.72223,0.158809111,0.270259403,0.198994665,0.181234194,-0.110056572,0.380315974
1869,285.84653,0.161079422,0.274462835,0.200196288,0.200282887,-0.106485784,0.38094862
1870,285.97577,0.163439288,0.27934099,0.200591377,0.202066429,-0.115214953,0.394555943
1871,286.11676,0.166012821,0.282950993,0.20072025,0.212959706,-0.110875886,0.393826879
1872,286.28546,0.16909013,0.286963921,0.194550896,0.201111739,-0.110597725,0.397561646
1873,286.47766,0.172593902,0.292560782,-0.044495556,-0.047591475,-0.12660617,0.419166952
1874,286.6807,0.176292971,0.298111677,0.106271365,0.094797931,-0.132721746,0.430833423
1875,286.90582,0.180392472,0.303201132,0.120713754,0.093639734,-0.127006521,0.430207653
1876,287.13446,0.184552138,0.308734518,0.132862105,0.098643017,-0.135246264,0.443980783
1877,287.3658,0.188758033,0.314771471,0.176541628,0.137751567,-0.139299669,0.454071141
1878,287.60294,0.1930658,0.321010047,0.19277966,0.148326587,-0.142904481,0.463914529
1879,287.83408,0.197261839,0.327441965,0.195367085,0.152099657,-0.155327429,0.482769394
1880,288.08173,0.201754342,0.333869038,0.147625142,0.118273437,-0.165061101,0.498930139
1881,288.34674,0.206557554,0.341115687,0.146469021,0.136477643,-0.168119214,0.509234901
1882,288.6208,0.211520595,0.347697092,0.197425674,0.18330014,-0.172117219,0.51981431
1883,288.86905,0.216012654,0.353704863,-0.516673852,-0.533763498,-0.171175903,0.524880766
1884,289.12094,0.220566872,0.361101846,-1.962339963,-1.956231537,-0.17843326,0.539535105
